true,pred,correct,queries,pred_sents
10,10,True,"the age is 58.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Doctorate degree, the marital status is Married, the occupation is MED-Physicians, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Female","the age is 39.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Doctorate degree, the marital status is Married, the occupation is MED-Physicians, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Female"
11,11,True,"the age is 28.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Never married or under 15 years old, the occupation is CMM-Software Developers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 32.0, the sex is Male","the age is 28.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Never married or under 15 years old, the occupation is CMM-Software Developers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
12,12,True,"the age is 43.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Separated, the occupation is CON-Construction Laborers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 45.0, the sex is Male","the age is 43.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Separated, the occupation is CON-Construction Laborers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 45.0, the sex is Male"
13,13,True,"the age is 29.0, the class of worker is Federal government employee, the educational attainment is Grade 6, the marital status is Never married or under 15 years old, the occupation is MED-Pharmacy Technicians, the place of birth is Maine/ME, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 50.0, the sex is Female","the age is 26.0, the class of worker is Federal government employee, the educational attainment is Grade 6, the marital status is Never married or under 15 years old, the occupation is MED-Pharmacy Technicians, the place of birth is Maine/ME, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 50.0, the sex is Female"
14,14,True,"the age is 58.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Married, the occupation is MGR-Medical And Health Services Managers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 2.0, the sex is Female","the age is 58.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Married, the occupation is MGR-Medical And Health Services Managers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
15,15,True,"the age is 39.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Married, the occupation is OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive, the place of birth is Florida/FL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Female","the age is 39.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Married, the occupation is OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Female"
16,16,True,"the age is 40.0, the class of worker is Federal government employee, the educational attainment is GED or alternative credential, the marital status is Never married or under 15 years old, the occupation is CLN-Landscaping And Groundskeeping Workers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 10.0, the sex is Male","the age is 40.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is GED or alternative credential, the marital status is Never married or under 15 years old, the occupation is CLN-Landscaping And Groundskeeping Workers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 10.0, the sex is Male"
17,17,True,"the age is 59.0, the class of worker is Federal government employee, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Married, the occupation is SCI-Physical Scientists, All Other, the place of birth is Sri Lanka, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 59.0, the class of worker is Federal government employee, the educational attainment is Doctorate degree, the marital status is Married, the occupation is SCI-Physical Scientists, All Other, the place of birth is Sri Lanka, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
18,18,True,"the age is 62.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is OFF-Receptionists And Information Clerks, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 67.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is OFF-Receptionists And Information Clerks, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
19,19,True,"the age is 66.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Divorced, the occupation is BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 66.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Divorced, the occupation is BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
20,20,True,"the age is 50.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Divorced, the occupation is FIN-Personal Financial Advisors, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 50.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Married, the occupation is FIN-Personal Financial Advisors, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
21,21,True,"the age is 29.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is Bachelors degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 45.0, the sex is Male","the age is 29.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is Bachelors degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 45.0, the sex is Male"
22,22,True,"the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Divorced, the occupation is EAT-Cooks, the place of birth is West Virginia/WV, the relationship is Reference person, the usual hours worked per week past 12 months is 46.0, the sex is Female","the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is EAT-Cooks, the place of birth is West Virginia/WV, the relationship is Reference person, the usual hours worked per week past 12 months is 46.0, the sex is Female"
23,23,True,"the age is 22.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is EAT-Waiters And Waitresses, the place of birth is Georgia/GA, the relationship is Stepson or stepdaughter, the usual hours worked per week past 12 months is 25.0, the sex is Male","the age is 22.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is EAT-Waiters And Waitresses, the place of birth is Georgia/GA, the relationship is Stepson or stepdaughter, the usual hours worked per week past 12 months is 25.0, the sex is Male"
24,24,True,"the age is 35.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MGR-Medical And Health Services Managers, the place of birth is Western Africa, Not Specified, the relationship is Reference person, the usual hours worked per week past 12 months is 36.0, the sex is Male","the age is 35.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MED-Other Therapists, the place of birth is Western Africa, Not Specified, the relationship is Reference person, the usual hours worked per week past 12 months is 36.0, the sex is Male"
25,25,True,"the age is 57.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is RPR-Small Engine Mechanics, the place of birth is Alabama/AL, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 57.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is RPR-Small Engine Mechanics, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
26,26,True,"the age is 49.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is MGR-Other Managers, the place of birth is Ohio/OH, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 43.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is MGR-Other Managers, the place of birth is Ohio/OH, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male"
27,27,True,"the age is 54.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is GED or alternative credential, the marital status is Married, the occupation is OFF-Office Clerks, General, the place of birth is Tennessee/TN, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 54.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is GED or alternative credential, the marital status is Married, the occupation is OFF-Office Clerks, General, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
28,28,True,"the age is 57.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is 1 or more years of college credit but no degree, the marital status is Married, the occupation is ENT-Photographers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 75.0, the sex is Male","the age is 57.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is 1 or more years of college credit but no degree, the marital status is Married, the occupation is ENT-Photographers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 75.0, the sex is Male"
29,29,True,"the age is 25.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 12th Grade - no diploma, the marital status is Never married or under 15 years old, the occupation is PRD-Electrical, Electronics, And Electromechanical Assemblers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 25.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Never married or under 15 years old, the occupation is PRD-Electrical, Electronics, And Electromechanical Assemblers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female"
30,30,True,"the age is 63.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is Masters degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 63.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is Masters degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
31,31,True,"the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is EAT-Cooks, the place of birth is Alabama/AL, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 36.0, the sex is Female","the age is 48.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is EAT-Cooks, the place of birth is Alabama/AL, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 36.0, the sex is Female"
32,32,True,"the age is 60.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Married, the occupation is PRD-Inspectors, Testers, Sorters, Samplers, And Weighers, the place of birth is Alabama/AL, the relationship is Institutionalized group quarters population, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 60.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Married, the occupation is PRD-Inspectors, Testers, Sorters, Samplers, And Weighers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
33,32,False,"the age is 66.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Married, the occupation is TRN-Driver/Sales Workers And Truck Drivers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 20.0, the sex is Male","the age is 60.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Married, the occupation is PRD-Inspectors, Testers, Sorters, Samplers, And Weighers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
34,34,True,"the age is 32.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Industrial Truck And Tractor Operators, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 32.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Industrial Truck And Tractor Operators, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Male"
35,35,True,"the age is 36.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is TRN-Supervisors Of Transportation And Material Moving Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 50.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is TRN-Supervisors Of Transportation And Material Moving Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male"
36,36,True,"the age is 23.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Never married or under 15 years old, the occupation is CON-Plumbers, Pipefitters, And Steamfitters, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 23.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is GED or alternative credential, the marital status is Never married or under 15 years old, the occupation is CON-Plumbers, Pipefitters, And Steamfitters, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
37,98,False,"the age is 62.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is TRN-Stockers And Order Fillers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 21.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is OFF-Bookkeeping, Accounting, And Auditing Clerks, the place of birth is Louisiana/LA, the relationship is Noninstitutionalized group quarters population, the usual hours worked per week past 12 months is 40.0, the sex is Male"
38,38,True,"the age is 59.0, the class of worker is Federal government employee, the educational attainment is 1 or more years of college credit but no degree, the marital status is Married, the occupation is OFF-Postal Service Clerks, the place of birth is Michigan/MI, the relationship is Reference person, the usual hours worked per week past 12 months is 52.0, the sex is Female","the age is 59.0, the class of worker is Federal government employee, the educational attainment is 1 or more years of college credit but no degree, the marital status is Married, the occupation is OFF-Postal Service Clerks, the place of birth is Michigan/MI, the relationship is Reference person, the usual hours worked per week past 12 months is 52.0, the sex is Female"
39,39,True,"the age is 32.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is TRN-Aircraft Pilots And Flight Engineers, the place of birth is Tennessee/TN, the relationship is Stepson or stepdaughter, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 32.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is TRN-Aircraft Pilots And Flight Engineers, the place of birth is Tennessee/TN, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male"
40,40,True,"the age is 56.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 11, the marital status is Divorced, the occupation is RPR-Millwrights, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 56.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 11, the marital status is Married, the occupation is RPR-Millwrights, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male"
41,41,True,"the age is 27.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Never married or under 15 years old, the occupation is TRN-Packers And Packagers, Hand, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 27.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Never married or under 15 years old, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female"
42,42,True,"the age is 26.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is PRD-Inspectors, Testers, Sorters, Samplers, And Weighers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 4.0, the sex is Female","the age is 26.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is PRD-Inspectors, Testers, Sorters, Samplers, And Weighers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 4.0, the sex is Female"
43,40,False,"the age is 54.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is GED or alternative credential, the marital status is Married, the occupation is CON-Glaziers, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 56.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 11, the marital status is Married, the occupation is RPR-Millwrights, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male"
44,44,True,"the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Packers And Packagers, Hand, the place of birth is West Virginia/WV, the relationship is Noninstitutionalized group quarters population, the usual hours worked per week past 12 months is 30.0, the sex is Female","the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Packers And Packagers, Hand, the place of birth is Alabama/AL, the relationship is Noninstitutionalized group quarters population, the usual hours worked per week past 12 months is 30.0, the sex is Female"
45,45,True,"the age is 41.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Married, the occupation is PRD-Paper Goods Machine Setters, Operators, And Tenders, the place of birth is North Carolina/NC, the relationship is Reference person, the usual hours worked per week past 12 months is 45.0, the sex is Male","the age is 41.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Married, the occupation is MGR-Medical And Health Services Managers, the place of birth is North Carolina/NC, the relationship is Reference person, the usual hours worked per week past 12 months is 45.0, the sex is Male"
46,46,True,"the age is 35.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Married, the occupation is RPR-Maintenance And Repair Workers, General, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 35.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Associates degree, the marital status is Married, the occupation is RPR-Maintenance And Repair Workers, General, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male"
